movie_genre,movie_rating,movie_title,movie_year
Action,8.5 / 10,Avengers: Infinity War,2018
Adventure,7.3 / 10,Black Panther,2018
Action,7.7 / 10,Deadpool 2,2018
Adventure,7.9 / 10,Thor: Ragnarok,2017
Action,7.8 / 10,Big Hero 6,2014
Adventure,7.5 / 10,Doctor Strange,2016
Action,6.1 / 10,Rampage,2018
Adventure,7.9 / 10,Star Wars: Episode VII - The Force Awakens,2015
Action,6.7 / 10,Venom,2018
Adventure,7.4 / 10,Spider-Man: Homecoming,2017
Action,6.5 / 10,The Hunger Games: Mockingjay - Part 2,2015
Adventure,7.6 / 10,Moana,2016
Action,8.5 / 10,Avengers: Endgame,2019
Adventure,7.6 / 10,Guardians of the Galaxy Vol. 2,2017
Action,8 / 10,The Revenant,2015
Adventure,6.9 / 10,Jumanji: Welcome to the Jungle,2017
Action,6.3 / 10,Tomb Raider,2018
Sci-Fi,6.9 / 10,Captain Marvel,2019
Action,7.1 / 10,Ant-Man and the Wasp,2018
Adventure,7.5 / 10,Ready Player One,2018
Action,7.3 / 10,Fantastic Beasts and Where to Find Them,2016
Adventure,6.8 / 10,Kingsman: The Golden Circle,2017
Action,8 / 10,Deadpool,2016
Adventure,8.1 / 10,Logan,2017
Action,6 / 10,Suicide Squad,2016
Adventure,7.5 / 10,How to Train Your Dragon: The Hidden World,2019
Action,8.6 / 10,Interstellar,2014
Drama,8.4 / 10,Spider-Man: Into the Spider-Verse,2018
Action,7.8 / 10,Rogue One: A Star Wars Story,2016
Adventure,7.2 / 10,Beauty and the Beast,2017
Action,6.2 / 10,Jurassic World: Fallen Kingdom,2018
Adventure,6.7 / 10,The Fate of the Furious,2017
Action,7.7 / 10,Incredibles 2,2018
Adventure,7.4 / 10,Wonder Woman,2017
Action,7.6 / 10,Spider-Man: Far from Home,2019
Adventure,7 / 10,Aquaman,2018
Action,5.2 / 10,Transformers: The Last Knight,2017
Adventure,6.4 / 10,Justice League,2017
Action,5.8 / 10,Skyscraper,2018
Family,7.4 / 10,War for the Planet of the Apes,2017
Action,7.6 / 10,Fury,2014
Drama,5.3 / 10,The Nun,2018
Horror,6.9 / 10,Annihilation,2018
Mystery,5.3 / 10,Geostorm,2017
Adventure,7.1 / 10,Allied,2016
Drama,7.9 / 10,Iron Man,2008
Action,6.2 / 10,Why Him?,2016
Sci-Fi,7.3 / 10,Ant-Man,2015
Action,6.9 / 10,Us,2019
Drama,6.8 / 10,Spectre,2015
Action,5.7 / 10,Insidious: The Last Key,2018
Adventure,6.6 / 10,The Amazing Spider-Man 2,2014
Action,6.7 / 10,The Lego Movie 2: The Second Part,2019
Comedy,7.3 / 10,American Sniper,2014
Action,7.4 / 10,Patriots Day,2016
Adventure,6.3 / 10,Horrible Bosses 2,2014
